city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
0,80,3,2,2,2,acept,not furnished,750,"1,450",110,19,"2,329"
1,130,3,2,1,1,acept,not furnished,"1,200","4,500",100,58,"5,858"
1,64,1,2,2,15,acept,not furnished,691,"2,100",92,27,"2,910"
1,50,1,1,1,9,not acept,not furnished,"1,170","2,730",9,35,"3,944"
1,200,3,2,4,-,acept,not furnished,0,"3,500",0,53,"3,553"
1,70,1,1,2,9,acept,furnished,"2,150","7,000",542,89,"9,781"
0,41,1,1,1,11,acept,not furnished,390,"1,950",65,14,"2,419"
1,89,2,2,0,2,acept,not furnished,"1,000","1,900",0,25,"2,925"
1,250,4,2,8,-,acept,not furnished,0,"13,040",500,197,"13,740"
1,105,2,1,0,-,acept,not furnished,0,"1,800",125,28,"1,953"
1,150,2,2,1,-,acept,not furnished,1,"2,100",0,32,"2,133"
1,50,2,1,1,14,not acept,not furnished,450,"1,950",0,25,"2,425"
1,180,3,2,1,-,acept,not furnished,Sem info,"5,400",459,82,"5,941"
1,50,1,1,0,-,not acept,not furnished,0,"1,000",0,16,"1,016"
0,70,1,1,2,-,acept,not furnished,0,"1,450",5,22,"1,477"
1,177,2,2,2,-,acept,not furnished,0,"6,000",342,91,"6,433"
1,177,4,5,4,12,acept,not furnished,"1,500","9,200",959,117,"11,780"
1,18,1,1,0,-,acept,not furnished,0,"1,710",0,22,"1,732"
1,200,3,4,2,-,acept,not furnished,0,"2,900","1,100",44,"4,044"
1,45,1,1,1,1,not acept,furnished,"3,000","5,520",0,70,"8,590"
0,70,2,1,1,3,acept,not furnished,220,750,43,10,"1,023"
1,66,3,2,1,9,acept,not furnished,708,"2,179",13,28,"2,928"
1,48,2,1,0,2,acept,not furnished,90,"1,150",90,15,"1,345"
1,515,5,4,3,5,acept,not furnished,"5,600","15,000",250,191,"21,040"
1,55,2,2,1,7,acept,not furnished,650,"2,000",0,26,"2,676"
1,350,4,5,2,-,acept,not furnished,0,"5,000",325,76,"5,401"
1,260,3,3,3,8,acept,furnished,"2,210","5,000",842,64,"8,116"
1,78,2,1,1,7,acept,not furnished,645,"2,000",35,26,"2,706"
1,35,1,1,0,6,acept,furnished,420,"1,780",0,23,"2,223"
1,106,2,1,2,-,not acept,not furnished,0,"2,100",110,32,"2,242"
1,500,3,3,5,-,acept,furnished,0,"15,000","1,125",226,"16,350"
1,38,1,1,0,-,not acept,not furnished,Sem info,"1,650",0,25,"1,675"
1,153,2,2,1,15,acept,furnished,"1,500","11,900",350,151,"13,900"
1,64,2,2,2,5,acept,not furnished,830,"1,600",205,21,"2,656"
1,260,3,4,4,-,acept,not furnished,0,"4,500",0,68,"4,568"
0,50,1,1,1,11,acept,not furnished,"1,500",500,105,7,"2,112"
1,170,3,2,1,14,acept,furnished,"1,700","4,500",85,58,"6,343"
1,120,2,2,2,15,acept,furnished,"1,043","4,880",264,62,"6,249"
1,700,4,5,2,10,acept,furnished,"3,000","8,000",402,102,"11,500"
1,270,5,7,2,-,acept,not furnished,0,"3,978",89,60,"4,127"
1,40,1,1,0,6,acept,not furnished,890,"3,463",0,32,"4,385"
1,640,4,4,4,12,acept,furnished,"5,400","10,200","1,584",130,"17,310"
1,40,1,1,0,-,acept,not furnished,0,980,59,15,"1,054"
1,40,2,1,0,3,acept,not furnished,348,"1,100",0,14,"1,462"
1,42,1,1,1,-,acept,furnished,450,"2,000",88,26,"2,564"
1,62,1,1,0,3,acept,not furnished,550,"2,100",0,27,"2,677"
1,106,2,3,2,18,not acept,furnished,950,"5,000",250,64,"6,264"
1,103,3,2,1,7,acept,not furnished,944,"4,400",126,56,"5,526"
1,360,3,5,3,13,acept,not furnished,"4,300","8,500","1,500",108,"14,410"
1,113,1,1,2,9,acept,furnished,650,"6,400",0,82,"7,132"
1,164,4,4,3,1,acept,not furnished,"1,840","6,000",550,77,"8,467"
1,110,3,2,3,-,acept,not furnished,0,"2,800",15,43,"2,858"
1,110,2,2,1,8,acept,furnished,"1,285","4,348",196,56,"5,885"
1,136,4,3,1,3,acept,not furnished,"1,800","4,200",312,54,"6,366"
0,65,1,1,1,9,acept,not furnished,380,"1,200",83,16,"1,679"
1,62,2,1,1,8,not acept,not furnished,735,"1,345",35,18,"2,133"
0,163,3,5,3,20,acept,not furnished,"1,450","9,800",350,125,"11,730"
1,47,2,1,1,12,acept,not furnished,597,"1,570",0,20,"2,187"
1,50,1,1,1,1,acept,not furnished,795,"3,500",213,45,"4,553"
1,79,3,2,2,6,acept,furnished,900,"3,000",209,39,"4,148"
1,250,3,3,2,7,not acept,furnished,"1,400","5,380",234,69,"7,083"
1,50,2,1,1,6,acept,not furnished,380,"1,210",0,16,"1,606"
1,150,3,3,2,-,acept,not furnished,0,"5,000",235,76,"5,311"
0,76,2,1,0,2,acept,not furnished,300,700,100,9,"1,109"
1,72,2,2,1,7,acept,not furnished,520,"1,800",159,23,"2,502"
1,35,1,1,1,17,acept,furnished,"1,280","4,000",200,51,"5,531"
1,250,3,4,4,16,acept,not furnished,"3,421","10,700","1,224",136,"15,480"
0,85,3,1,1,9,not acept,not furnished,598,"1,110",63,15,"1,786"
0,60,1,1,1,14,acept,not furnished,583,"1,100",49,14,"1,746"
0,47,2,1,1,-,acept,not furnished,255,"1,290",33,17,"1,595"
1,104,3,3,2,3,not acept,furnished,915,"9,000",254,115,"10,280"
0,203,3,1,2,-,acept,not furnished,0,"3,300",117,50,"3,467"
1,136,3,2,1,85,acept,not furnished,"1,513","3,500",260,45,"5,318"
1,53,1,1,1,3,acept,not furnished,694,"4,500",200,58,"5,452"
1,400,4,3,2,-,acept,not furnished,0,"15,000","1,870",226,"17,100"
1,40,1,1,1,14,acept,furnished,480,"4,200",75,54,"4,809"
1,38,1,1,0,6,acept,not furnished,0,"1,680",0,22,"1,702"
